8	90	11
56	64	11
132	152	11
19	28	11
32	220	11
36	120	11
69	91	11
1	232	11
42	57	11
7	219	11
110	204	11
12	117	11
23	59	11
91	130	11
60	202	11
51	52	11
18	234	11
110	211	11
130	140	11
12	116	11
4	79	11
185	216	11
47	100	11
63	225	11
51	54	11
214	244	11
36	133	11
30	163	11
101	217	11
58	136	11
2	37	11
32	161	11
22	161	11
36	138	11
109	132	11
41	48	11
55	217	11
30	230	11
12	152	11
68	125	11
109	223	11
19	55	11
30	219	11
58	63	11
110	114	11
19	43	11
47	161	11
78	94	11
22	234	11
110	136	11
68	241	11
136	231	11
214	228	11
214	230	11
110	137	11
50	228	11
1	187	11
60	78	11
9	79	11
14	113	11
30	106	11
202	230	11
24	64	11
136	221	11
60	69	11
136	217	11
14	156	11
42	121	11
46	155	11
69	228	11
9	116	11
9	117	11
161	220	11
12	61	11
33	80	11
46	145	11
151	215	11
33	94	11
161	237	11
148	241	11
100	214	11
12	48	11
112	237	11
77	109	11
63	146	11
151	241	11
63	156	11
4	229	11
69	144	11
4	110	11
1	156	11
47	91	11
23	214	11
59	165	11
4	130	11
4	133	11
63	208	11
42	66	11
4	157	11
4	160	11
108	243	11
60	76	11
18	165	11
101	139	11
30	133	11
36	78	11
40	231	11
47	60	11
56	164	11
40	230	11
36	77	11
46	242	11
9	98	11
64	169	11
47	80	11
67	245	11
19	97	11
19	117	11
54	204	11
20	103	11
65	195	11
105	136	11
21	90	11
31	88	11
49	109	11
132	229	11
209	225	11
20	90	11
32	70	11
54	211	11
64	100	11
49	97	11
108	110	11
59	146	11
8	35	11
65	216	11
20	79	11
54	91	11
65	245	11
31	80	11
8	230	11
49	91	11
21	140	11
21	85	11
105	196	11
64	105	11
13	137	11
13	91	11
205	223	11
205	226	11
31	242	11
31	243	11
49	220	11
31	219	11
54	137	11
41	138	11
107	138	11
58	96	11
157	237	11
89	174	11
31	215	11
20	225	11
8	76	11
31	202	11
107	216	11
8	144	11
41	159	11
