,s_id,s_name,s_total_trip,s_ranking,s_lon,s_lat,s_adname_id,s_cost,s_type_id,s_comment,s_area,s_level,s_mean_time,e_id,e_name,e_total_trip,e_ranking,e_lon,e_lat,e_adname_id,e_cost,e_type_id,e_comment,e_area,e_level,e_mean_time,distance,flow
3225,163,八达岭熊乐园,70,4.5,116.019232,40.3548,16,0,3,177,0.0,1,0.5,0,故宫博物院,18918,4.8,116.397029,39.91784,4,60,1,144663,1038469.981,5,6.0,58229.94384331305,56
3226,101,中华民族园,946,4.8,116.391367,39.982848,2,90,2,18,314383.6014,1,4.0,7,北海公园,6887,4.8,116.391746,39.928614,15,10,1,40,697623.4271,4,2.0,6021.893214879488,275
3227,48,北京喇叭沟原始森林公园,172,4.8,116.516762,40.944697,8,36,5,4,153357482.1,3,2.5,0,故宫博物院,18918,4.8,116.397029,39.91784,4,60,1,144663,1038469.981,5,6.0,114476.91376661535,19
3228,185,正阳门,2300,4.6,116.398021,39.900505,4,0,1,541,0.0,1,1.5,29,首都博物馆,914,4.7,116.342067,39.906412,15,0,2,1063,31381.63726,4,2.5,4829.591620796652,125
3229,214,卢沟桥,565,4.6,116.225969,39.850387,6,20,1,141,425565.9048,1,0.5,19,奥林匹克森林公园,987,4.8,116.391365,40.016194,2,0,4,100,6697819.748,1,3.5,23212.09794377235,26
3230,33,北京自然博物馆,584,4.6,116.399833,39.883183,4,0,2,960,18843.34828,1,2.0,19,奥林匹克森林公园,987,4.8,116.391365,40.016194,2,0,4,100,6697819.748,1,3.5,14786.417103564247,27
3231,230,大钟寺,166,4.3,116.344962,39.967038,7,30,1,288,30000.0,3,2.5,132,烟袋斜街,3421,4.4,116.394748,39.939329,15,0,4,662,18111.23657,1,2.0,5250.230165397947,15
3232,159,西黄寺博物馆,114,4.4,116.390183,39.963182,2,0,1,84,0.0,1,0.5,157,广济寺,160,4.5,116.372321,39.924971,15,0,1,182,10470.98737,1,3.0,4508.977899191176,13
3233,97,戒台寺景区,242,4.7,116.086534,39.87053,9,45,1,540,79914.28354,4,2.5,14,孔庙和国子监博物馆,2941,4.6,116.413283,39.946908,4,118,1,685,22000.0,1,3.5,29198.1403490539,38
3234,161,十三陵-昭陵,279,4.5,116.217826,40.291272,1,35,1,44,68398.48623,1,1.0,78,国家奥林匹克体育中心,1453,4.5,116.400841,39.985159,2,0,4,184,629581.0826,1,2.5,37397.5340827103,37
3235,199,北京环球度假区,819,4.5,116.681212,39.852698,14,624,6,3534,1493568.706,1,8.0,26,国家植物园,1350,4.6,116.211489,39.996048,7,5,3,1886,1669958.856,4,3.5,43195.025359398926,18
3236,115,云居寺,100,4.6,115.774477,39.609037,5,40,1,346,62848.75574,4,4.0,11,雍和宫,4125,4.8,116.417304,39.947228,4,25,1,6,35765.89602,1,2.0,66653.63709774119,25
3237,53,雁栖湖,322,4.5,116.667865,40.391351,8,42,5,2602,6916123.214,4,4.0,11,雍和宫,4125,4.8,116.417304,39.947228,4,25,1,6,35765.89602,1,2.0,53735.02443908657,31
3238,56,北京怀柔青龙峡景区,139,4.6,116.681168,40.46179,8,54,5,709,6724752.583,4,4.5,35,黄花城水长城,335,4.7,116.303862,40.413026,8,60,1,2299,1528297.336,4,3.0,32467.791641216023,17
3239,137,中国古动物馆,92,4.6,116.333946,39.937435,15,10,2,319,6557.157229,1,1.0,49,人民大会堂,3207,4.6,116.393823,39.905024,15,0,1,615,144657.2062,1,1.5,6257.375072957835,15
3240,185,正阳门,2300,4.6,116.398021,39.900505,4,0,1,541,0.0,1,1.5,10,北京杜莎夫人蜡像馆,327,4.7,116.398222,39.897304,4,180,2,3677,3000.0,1,1.5,355.8310776878169,93
3241,70,坡峰岭,249,4.6,115.835058,39.703939,5,30,5,1245,2151709.492,1,4.5,4,慕田峪长城,2645,4.8,116.565052,40.431668,8,40,1,14667,4123759.312,5,6.0,102016.3065452266,26
3242,132,烟袋斜街,3421,4.4,116.394748,39.939329,15,0,4,662,18111.23657,1,2.0,60,北京园博园,319,4.6,116.190595,39.876665,6,20,4,3257,5215785.736,4,0.5,18792.27612231878,21
3243,39,蓝色港湾,341,4.7,116.475944,39.949336,2,0,4,52,116894.6079,3,2.5,38,中国美术馆,596,4.7,116.408939,39.925255,4,0,2,592,24244.3366,1,1.0,6320.461512573646,23
3244,107,三里屯,3524,4.6,116.455294,39.937492,2,0,4,674,2560078.012,1,3.0,25,世界公园,376,4.4,116.287749,39.810591,6,77,6,4177,416149.3649,4,3.0,20099.296445008866,53
3245,203,毛主席纪念堂,165,4.6,116.397815,39.902517,4,0,2,786,58607.5159,1,0.75,201,天安门广场,16368,4.8,116.397755,39.903179,4,0,1,14196,250003.1338,1,1.5,73.68255290946912,162
3246,203,毛主席纪念堂,165,4.6,116.397815,39.902517,4,0,2,786,58607.5159,1,0.75,73,国家大剧院,1544,4.6,116.389814,39.904909,15,30,1,1789,139993.7883,1,2.0,733.9352685023766,36
3247,76,白云观,204,4.6,116.343781,39.901235,15,10,1,353,30199.44463,1,2.0,14,孔庙和国子监博物馆,2941,4.6,116.413283,39.946908,4,118,1,685,22000.0,1,3.5,7811.530065153464,49
3248,51,中国国家图书馆,678,4.7,116.323321,39.94394,7,0,2,485,126734.6677,1,1.5,8,北京798艺术区,1821,4.5,116.49462,39.985028,2,0,2,1321,370534.7496,1,3.0,15330.031509687353,88
3249,35,黄花城水长城,335,4.7,116.303862,40.413026,8,60,1,2299,1528297.336,4,3.0,30,居庸关长城,1412,4.7,116.073094,40.291154,1,45,1,1917,663074.9328,4,8.0,23821.77077571066,89
3250,135,京西古道风景区,159,4.4,116.049693,39.966158,9,25,5,209,208940.7425,3,8.0,18,香山公园,3045,4.6,116.188746,39.990107,7,10,1,5055,1641390.743,4,3.0,12172.073408588574,30
3251,121,北京湖广会馆(装修中),131,3.4,116.384032,39.8889,15,10,1,56,5148.142886,3,3.0,5,景山公园,9163,4.7,116.396551,39.925875,15,0,1,3814,257164.9228,4,1.25,4242.709176874469,46
3252,112,中国园林博物馆,571,4.8,116.177113,39.878994,6,0,2,191,51781.15408,4,2.5,80,北京市劳动人民文化宫,390,4.6,116.400005,39.9107,4,2,2,419,143113.5078,2,2.0,19385.10357894543,20
3253,237,琉璃厂（文化街）,549,4.6,116.38457,39.895313,15,0,4,5,102580.1232,1,1.0,227,751D·park,407,4.2,116.499122,39.9844,2,0,2,339,197206.754,1,3.0,13917.635396649597,22
3254,47,北京海洋馆,655,4.5,116.340971,39.944676,7,173,3,4837,34297.38781,1,2.5,0,故宫博物院,18918,4.8,116.397029,39.91784,4,60,1,144663,1038469.981,5,6.0,5642.690069063756,344
3255,200,圆明园,7545,4.7,116.300442,40.009143,7,10,1,19667,3336877.979,5,2.5,6,北京恭王府博物馆,5730,4.6,116.386312,39.937225,15,40,1,15803,64266.78184,1,3.0,10843.311344625714,2745
3256,140,北京古观象台,125,4.5,116.434326,39.907206,4,20,1,214,14898.92496,1,1.0,83,南锣鼓巷,9462,4.6,116.402394,39.937182,4,0,4,191,835977.9168,1,3.0,4304.656715561793,23
3257,44,八达岭野生动物世界,187,4.2,115.996858,40.351178,16,90,3,4895,2849241.299,3,3.0,30,居庸关长城,1412,4.7,116.073094,40.291154,1,45,1,1917,663074.9328,4,8.0,9295.56011014337,18
3258,231,宛平城,208,4.5,116.22609,39.851425,6,0,1,144,213592.5458,1,1.5,185,正阳门,2300,4.6,116.398021,39.900505,4,0,1,541,0.0,1,1.5,15685.439541290694,26
3259,214,卢沟桥,565,4.6,116.225969,39.850387,6,20,1,141,425565.9048,1,0.5,20,地坛公园,1751,4.5,116.414449,39.953778,4,2,4,874,326165.0245,4,2.0,19788.257217520302,53
3260,201,天安门广场,16368,4.8,116.397755,39.903179,4,0,1,14196,250003.1338,1,1.5,184,木木美术馆,34,4.2,116.495174,39.986104,2,0,2,17,0.0,1,1.5,12413.480593597784,14
3261,239,正阳门东车站,49,4.3,116.399716,39.899804,4,0,4,28,3500.0,1,0.2,1,八达岭长城,5677,4.7,116.016802,40.356188,16,40,1,33983,2424391.838,5,7.5,60275.950975533815,12
3262,56,北京怀柔青龙峡景区,139,4.6,116.681168,40.46179,8,54,5,709,6724752.583,4,4.5,31,红螺寺,334,4.7,116.624756,40.384097,8,54,1,2027,1786808.424,4,4.5,9866.530695990681,21
3263,38,中国美术馆,596,4.7,116.408939,39.925255,4,0,2,592,24244.3366,1,1.0,22,五道营胡同,1374,4.6,116.408701,39.948536,4,0,4,337,0.0,1,1.5,2585.049095287755,53
3264,14,孔庙和国子监博物馆,2941,4.6,116.413283,39.946908,4,118,1,685,22000.0,1,3.5,7,北海公园,6887,4.8,116.391746,39.928614,15,10,1,40,697623.4271,4,2.0,2741.256909393147,1239
3265,34,中山公园,1308,4.7,116.394407,39.910707,4,0,4,763,191915.9733,4,4.0,9,什刹海,5922,4.6,116.385307,39.941853,15,0,1,2157,0.0,1,2.5,3544.655952007475,351
3266,96,北宫国家森林公园,2173,4.6,116.117756,39.866114,6,10,5,731,1232968.118,4,3.5,16,古北水镇,902,4.6,117.277314,40.654264,10,140,1,10869,2472837.263,1,12.0,131866.2510184551,28
3267,215,朝阳公园,375,4.6,116.482276,39.944093,2,0,4,1029,2694233.409,4,3.0,73,国家大剧院,1544,4.6,116.389814,39.904909,15,30,1,1789,139993.7883,1,2.0,9022.635028716613,32
3268,56,北京怀柔青龙峡景区,139,4.6,116.681168,40.46179,8,54,5,709,6724752.583,4,4.5,2,天坛公园,9022,4.6,116.410829,39.881913,4,15,1,11633,1935389.745,5,5.0,68382.02800448856,20
3269,97,戒台寺景区,242,4.7,116.086534,39.87053,9,45,1,540,79914.28354,4,2.5,49,人民大会堂,3207,4.6,116.393823,39.905024,15,0,1,615,144657.2062,1,1.5,26561.064210828707,11
3270,201,天安门广场,16368,4.8,116.397755,39.903179,4,0,1,14196,250003.1338,1,1.5,13,前门大街,3934,4.5,116.403894,39.896151,4,0,4,1544,711343.8409,3,2.0,940.5059743932509,3350
3271,88,白塔寺,382,4.6,116.363365,39.924848,15,20,1,284,9377.248679,1,1.0,64,妙峰山风景名胜区,384,4.6,116.026452,40.06355,9,20,5,9,4000639.889,3,8.0,32635.102351444304,21
3272,113,今日美术馆,87,4.4,116.467689,39.900089,2,60,2,222,4922.158061,1,1.0,14,孔庙和国子监博物馆,2941,4.6,116.413283,39.946908,4,118,1,685,22000.0,1,3.5,6975.45009812835,11
3273,105,密云水库,268,4.6,116.913914,40.517502,10,0,5,144,188000000.0,1,8.0,15,北京大学,6718,4.6,116.310905,39.992806,7,0,1,1452,1950017.619,1,1.5,77628.57059462735,27
3274,58,北京爨底下旅游度假村,158,4.4,115.646077,39.995718,9,0,1,276,5330000.0,1,8.0,11,雍和宫,4125,4.8,116.417304,39.947228,4,25,1,6,35765.89602,1,2.0,66104.85619570583,16
3275,80,北京市劳动人民文化宫,390,4.6,116.400005,39.9107,4,2,2,419,143113.5078,2,2.0,9,什刹海,5922,4.6,116.385307,39.941853,15,0,1,2157,0.0,1,2.5,3680.151474859686,107
3276,32,潭柘寺,514,4.6,116.0306,39.903428,9,55,1,1204,178980.4929,4,3.5,29,首都博物馆,914,4.7,116.342067,39.906412,15,0,2,1063,31381.63726,4,2.5,26636.26848680448,38
3277,86,北京国际鲜花港,79,4.6,116.796608,40.181617,13,30,3,3748,1074586.0,4,1.0,2,天坛公园,9022,4.6,116.410829,39.881913,4,15,1,11633,1935389.745,5,5.0,46814.9771010417,18
3278,39,蓝色港湾,341,4.7,116.475944,39.949336,2,0,4,52,116894.6079,3,2.5,29,首都博物馆,914,4.7,116.342067,39.906412,15,0,2,1063,31381.63726,4,2.5,12397.034255445154,28
3279,43,龙庆峡风景区,194,4.5,116.003394,40.551886,16,40,5,2139,5893398.409,4,4.0,6,北京恭王府博物馆,5730,4.6,116.386312,39.937225,15,40,1,15803,64266.78184,1,3.0,75629.49356594821,16
3280,229,月坛公园,87,4.5,116.352206,39.916423,15,0,4,490,61751.2355,1,1.0,80,北京市劳动人民文化宫,390,4.6,116.400005,39.9107,4,2,2,419,143113.5078,2,2.0,4135.988204552892,13
3281,226,鲁迅博物馆,154,4.6,116.358742,39.925693,15,0,2,315,5024.916992,1,1.0,0,故宫博物院,18918,4.8,116.397029,39.91784,4,60,1,144663,1038469.981,5,6.0,3387.350111559315,71
3282,96,北宫国家森林公园,2173,4.6,116.117756,39.866114,6,10,5,731,1232968.118,4,3.5,42,钟鼓楼,1354,4.5,116.395885,39.941596,4,20,1,352,3852.108981,1,1.5,25217.22562729659,164
3283,147,北京天桥艺术中心,33,4.7,116.397847,39.882286,15,0,4,63,26860.59543,1,12.0,0,故宫博物院,18918,4.8,116.397029,39.91784,4,60,1,144663,1038469.981,5,6.0,3948.276822332352,15
3284,31,红螺寺,334,4.7,116.624756,40.384097,8,54,1,2027,1786808.424,4,4.5,29,首都博物馆,914,4.7,116.342067,39.906412,15,0,2,1063,31381.63726,4,2.5,58254.542816462024,15
3285,118,首钢园（首钢工业遗址公园）,312,4.8,116.163672,39.909611,12,88,4,5,7400152.215,1,2.5,21,玉渊潭公园,1508,4.6,116.319932,39.91662,7,2,5,1522,1157711.354,4,3.0,13383.18501912871,24
3286,241,奥体公园（奥林匹克公园;鸟巢;水立方;）,9024,4.8,116.688349,39.908314,14,0,4,36,3680000.0,5,4.0,66,观复博物馆,144,4.8,116.534331,40.006937,2,88,2,1134,8240.85266,1,2.0,17120.367030112517,23
3287,41,北京凤凰岭景区,459,4.6,116.084981,40.106778,7,25,5,1446,3528731.118,4,1.5,11,雍和宫,4125,4.8,116.417304,39.947228,4,25,1,6,35765.89602,1,2.0,33444.548681351254,26
3288,243,定陵,1175,4.4,116.225759,40.294843,1,60,1,945,210371.1033,5,1.0,52,司马台长城旅游区,663,4.6,117.287475,40.658241,10,170,1,1043,835259.522,4,4.0,98659.52899615059,22
3289,245,十渡风景名胜区,404,4.5,115.610697,39.64063,5,0,5,670,50901.34807,4,3.5,52,司马台长城旅游区,663,4.6,117.287475,40.658241,10,170,1,1043,835259.522,4,4.0,182148.52265380285,16
3290,69,中国电影博物馆,188,4.4,116.520445,39.996385,2,128,2,207,57851.24158,1,1.5,3,颐和园,11485,4.7,116.275115,39.999686,7,30,1,40087,3190657.268,5,12.0,20953.474582345425,64
3291,56,北京怀柔青龙峡景区,139,4.6,116.681168,40.46179,8,54,5,709,6724752.583,4,4.5,15,北京大学,6718,4.6,116.310905,39.992806,7,0,1,1452,1950017.619,1,1.5,60868.021284259245,21
3292,202,中国国家博物馆,1190,4.8,116.401304,39.905374,4,0,2,4278,123008.8977,1,3.5,47,北京海洋馆,655,4.5,116.340971,39.944676,7,173,3,4837,34297.38781,1,2.5,6756.095407165631,42
3293,52,司马台长城旅游区,663,4.6,117.287475,40.658241,10,170,1,1043,835259.522,4,4.0,28,北京野生动物园,504,4.7,116.334739,39.496599,3,145,3,23340,2306858.526,4,5.0,152447.6903141337,13
3294,77,北京天文馆,468,4.5,116.336833,39.937306,15,10,2,929,24829.2312,4,2.0,7,北海公园,6887,4.8,116.391746,39.928614,15,10,1,40,697623.4271,4,2.0,4792.006246326017,144
3295,108,卧佛寺,402,4.5,116.207216,40.007486,7,5,1,165,10689.38661,1,0.5,49,人民大会堂,3207,4.6,116.393823,39.905024,15,0,1,615,144657.2062,1,1.5,19587.781357155138,20
3296,59,紫竹院公园,372,4.6,116.319089,39.942349,7,0,4,733,467212.1062,4,2.0,0,故宫博物院,18918,4.8,116.397029,39.91784,4,60,1,144663,1038469.981,5,6.0,7196.724692861842,164
3297,80,北京市劳动人民文化宫,390,4.6,116.400005,39.9107,4,2,2,419,143113.5078,2,2.0,63,王府井,7795,4.4,116.412422,39.908966,4,0,4,1838,1951869.662,1,3.0,1079.04419536752,138
3298,203,毛主席纪念堂,165,4.6,116.397815,39.902517,4,0,2,786,58607.5159,1,0.75,49,人民大会堂,3207,4.6,116.393823,39.905024,15,0,1,615,144657.2062,1,1.5,440.4742113088567,79
3299,232,百花深处胡同,115,4.5,116.373637,39.937478,15,0,4,45,0.0,1,0.2,2,天坛公园,9022,4.6,116.410829,39.881913,4,15,1,11633,1935389.745,5,5.0,6940.936503881611,33
